ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,True,0.005736153107136488,0.9320000410079956,60847296,21,12
mean,True,0.008531680330634117,0.940000057220459,59860992,16,12
mean,True,0.01268961001187563,0.9600000381469727,59071488,12,12
mean,True,0.0188739150762558,0.956000030040741,58677888,10,12
mean,True,0.028072157874703407,0.9720000624656677,58279680,8,12
mean,True,0.04175318777561188,0.784000039100647,28942656,3,6
mean,True,0.06210169568657875,0.5560000538825989,28743552,2,6
mean,True,0.09236709773540497,0.3840000033378601,24019584,2,5
mean,True,0.1373823583126068,0.08400000631809235,14571648,2,3
mean,True,0.20433597266674042,0.0,5123712,2,1
mean,True,0.30391955375671387,0.0,4924608,1,1
mean,True,0.4520353674888611,0.0,200640,1,0
mean,True,0.6723357439041138,0.0,200640,1,0
mean,True,1.0,0.0,1536,0,0
zero,False,9.999999747378752e-06,0.9320000410079956,85056000,144,12
zero,False,1.4873522559355479e-05,0.9320000410079956,85056000,144,12
zero,False,2.2122167138149962e-05,0.9320000410079956,85056000,144,12
zero,False,3.2903451938182116e-05,0.9320000410079956,85056000,144,12
zero,False,4.893902223557234e-05,0.9320000410079956,85056000,144,12
zero,False,7.278956763911992e-05,0.9320000410079956,85056000,144,12
zero,False,0.00010826366633409634,0.9320000410079956,85056000,144,12
zero,False,0.00016102619701996446,0.9440000653266907,84859200,143,12
zero,False,0.0002395026822341606,0.9440000653266907,84662400,142,12
zero,False,0.00035622483119368553,0.9200000166893005,83678400,137,12
zero,False,0.0005298317992128432,0.9040000438690186,82891200,133,12
zero,False,0.0007880465127527714,0.9280000329017639,81513600,126,12
zero,False,0.0011721020564436913,0.9240000247955322,79152000,114,12
zero,False,0.0017433286411687732,0.9360000491142273,76593600,101,12
zero,False,0.0025929436087608337,0.9480000734329224,75216000,94,12
zero,False,0.003856620518490672,0.9200000166893005,73051200,83,12
zero,False,0.005736153107136488,0.7120000123977661,69312000,64,12
zero,False,0.008531680330634117,0.7480000257492065,67737600,56,12
zero,False,0.01268961001187563,0.8520000576972961,65373696,44,12
zero,False,0.0188739150762558,0.4960000216960907,64586496,40,12
zero,False,0.028072157874703407,0.40400001406669617,63405696,34,12
zero,False,0.04175318777561188,0.3880000114440918,61039488,22,12
zero,False,0.06210169568657875,0.3880000114440918,61039488,22,12
zero,False,0.09236709773540497,0.1080000028014183,60641280,20,12
zero,False,0.1373823583126068,0.09600000083446503,60247680,18,12
zero,False,0.20433597266674042,0.020000001415610313,59261376,13,12
zero,False,0.30391955375671387,0.0,58075968,7,12
zero,False,0.4520353674888611,0.0,57682368,5,12
zero,False,0.6723357439041138,0.0,56888256,1,12
zero,False,1.0,0.0,56888256,1,12
zero,True,9.999999747378752e-06,0.9320000410079956,85056000,144,12
zero,True,1.4873522559355479e-05,0.9320000410079956,85056000,144,12
zero,True,2.2122167138149962e-05,0.9320000410079956,85056000,144,12
zero,True,3.2903451938182116e-05,0.9320000410079956,85056000,144,12
zero,True,4.893902223557234e-05,0.9320000410079956,85056000,144,12
zero,True,7.278956763911992e-05,0.9320000410079956,85056000,144,12
zero,True,0.00010826366633409634,0.9320000410079956,85056000,144,12
zero,True,0.00016102619701996446,0.9440000653266907,84859200,143,12
zero,True,0.0002395026822341606,0.9440000653266907,84662400,142,12
zero,True,0.00035622483119368553,0.9200000166893005,83678400,137,12
zero,True,0.0005298317992128432,0.9040000438690186,82891200,133,12
zero,True,0.0007880465127527714,0.9280000329017639,81513600,126,12
zero,True,0.0011721020564436913,0.9240000247955322,79152000,114,12
zero,True,0.0017433286411687732,0.9360000491142273,76593600,101,12
zero,True,0.0025929436087608337,0.9480000734329224,75216000,94,12
zero,True,0.003856620518490672,0.9200000166893005,73051200,83,12
zero,True,0.005736153107136488,0.7120000123977661,69312000,64,12
zero,True,0.008531680330634117,0.7480000257492065,67737600,56,12
zero,True,0.01268961001187563,0.8520000576972961,65373696,44,12
zero,True,0.0188739150762558,0.4960000216960907,64586496,40,12
zero,True,0.028072157874703407,0.40400001406669617,63405696,34,12
zero,True,0.04175318777561188,0.3880000114440918,61039488,22,12
zero,True,0.06210169568657875,0.3880000114440918,61039488,22,12
zero,True,0.09236709773540497,0.0,56507712,23,11
zero,True,0.1373823583126068,0.0,50799744,18,10
zero,True,0.20433597266674042,0.0,50012544,14,10
zero,True,0.30391955375671387,0.0,49815744,13,10
zero,True,0.4520353674888611,0.0,33863424,4,7
zero,True,0.6723357439041138,0.0,28544448,1,6
zero,True,1.0,0.0,9648576,1,2
